Model,CV_Accuracy_mean,CV_F1_macro_mean
Logistic Regression (Binary),0.6657142857142857,0.6003865278168684
Random Forest (Binary),0.6114285714285714,0.534951773372826
Gradient Boosting (Binary),0.5695238095238095,0.5137852206273259
"Neural Network (MLP, Binary)",0.6390476190476191,0.5507955494797601
