Model,Accuracy,F1-score (macro)
Logistic Regression,0.7222222222222222,0.6866096866096866
Random Forest,0.8333333333333334,0.7904761904761904
Gradient Boosting,0.7222222222222222,0.6507936507936508
Neural Network (MLP),0.3888888888888889,0.18666666666666668
