Model,Accuracy,F1_macro
Logistic Regression (Binary),0.6666666666666666,0.5846153846153846
Random Forest (Binary),0.6111111111111112,0.48148148148148145
Gradient Boosting (Binary),0.5555555555555556,0.4461538461538461
"Neural Network (MLP, Binary)",0.6666666666666666,0.5178571428571428
