Name,Year,Publisher,Global_Sales
Plants vs. Zombies: Garden Warfare,2014.0,Electronic Arts,0.02
Rugby World Cup 2015,2015.0,Ubisoft,0.02
Cabela's Big Game Hunter: Pro Hunts,2014.0,Activision,0.02
The Crew: Wild Run,2015.0,Ubisoft,0.02
Call of Duty: Modern Warfare Trilogy,2016.0,Activision,0.02
The Crew: Wild Run,2015.0,Ubisoft,0.02
Rabbids Invasion: The Interactive TV Show,2014.0,Ubisoft,0.02
NHL 16,2015.0,Electronic Arts,0.02
XCOM 2,2016.0,Take-Two Interactive,0.02
Call of Duty: Modern Warfare Trilogy,2016.0,Activision,0.02
The Sims 4: Luxury Party Stuff,2015.0,Electronic Arts,0.02
Sid Meier's Civilization Revolution 2+,2015.0,Take-Two Interactive,0.02
Tetris Ultimate,2014.0,Ubisoft,0.01
Mario vs. Donkey Kong: Tipping Stars,2015.0,Nintendo,0.01
TrackMania Turbo,2016.0,Ubisoft,0.01
The Amazing Spider-Man 2 (2014),2014.0,Activision,0.01
Teenage Mutant Ninja Turtles (3DS),2013.0,Activision,0.01
Assassin's Creed Chronicles,2016.0,Ubisoft,0.01
Art Academy: Home Studio,2015.0,Nintendo,0.01
Rugby World Cup 2015,2015.0,Ubisoft,0.01
Rabbids Invasion: The Interactive TV Show,2014.0,Ubisoft,0.01
Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,2015.0,Nintendo,0.01
