Name,Year,Publisher,Global_Sales
Titanfall,2014.0,Electronic Arts,1.38
Assassin's Creed: Rogue,2014.0,Ubisoft,1.37
NBA 2K15,2014.0,Take-Two Interactive,1.36
Yoshi's New Island,2014.0,Nintendo,1.36
Skylanders SWAP Force,2013.0,Activision,1.33
NBA 2K14,2013.0,Take-Two Interactive,1.33
Yoshi's Woolly World,2015.0,Nintendo,1.29
Tom Clancy's Rainbow Six: Siege,2015.0,Ubisoft,1.29
Watch Dogs,2014.0,Ubisoft,1.28
Assassin's Creed Syndicate,2015.0,Ubisoft,1.28
Hyrule Warriors,2014.0,Nintendo,1.26
Madden NFL 17,2016.0,Electronic Arts,1.23
Just Dance 2016,2015.0,Ubisoft,1.2
Battlefield: Hardline,2015.0,Electronic Arts,1.2
WWE 2K16,2015.0,Take-Two Interactive,1.2
WWE 2K14,2013.0,Take-Two Interactive,1.19
Captain Toad: Treasure Tracker,2014.0,Nintendo,1.19
FIFA 14,2013.0,Electronic Arts,1.19
NBA 2K17,2016.0,Take-Two Interactive,1.19
Pokemon Super Mystery Dungeon,2015.0,Nintendo,1.19
Destiny: The Taken King,2015.0,Activision,1.17
Plants vs. Zombies: Garden Warfare,2014.0,Electronic Arts,1.16
WWE 2K15,2014.0,Take-Two Interactive,1.13
WWE 2K14,2013.0,Take-Two Interactive,1.13
Pikmin 3,2013.0,Nintendo,1.11
The Legend of Zelda: Tri Force Heroes,2015.0,Nintendo,1.1
Grand Theft Auto V,2015.0,Take-Two Interactive,1.08
LEGO City Undercover,2013.0,Nintendo,1.08
NCAA Football 14,2013.0,Electronic Arts,1.07
Skylanders SWAP Force,2013.0,Activision,1.07
Assassin's Creed: Rogue,2014.0,Ubisoft,1.05
Skylanders: Trap Team,2014.0,Activision,1.05
EA Sports UFC,2014.0,Electronic Arts,1.04
Bayonetta 2,2014.0,Nintendo,1.01
Rayman Legends,2014.0,Ubisoft,1.01
Rocksmith 2014,2013.0,Ubisoft,1.0
Dead Space 3,2013.0,Electronic Arts,1.0
Dead Space 3,2013.0,Electronic Arts,0.99
Tom Clancy's Splinter Cell: Blacklist,2013.0,Ubisoft,0.99
Just Dance 2014,2013.0,Ubisoft,0.98
South Park: The Stick of Truth,2014.0,Ubisoft,0.98
Far Cry 4,2014.0,Ubisoft,0.98
Tom Clancy's Splinter Cell: Blacklist,2013.0,Ubisoft,0.98
Madden NFL 16,2015.0,Electronic Arts,0.98
NBA 2K16,2015.0,Take-Two Interactive,0.97
South Park: The Stick of Truth,2014.0,Ubisoft,0.95
Evolve,2015.0,Take-Two Interactive,0.95
Rocksmith 2014,2013.0,Ubisoft,0.94
The Legend of Zelda: Twilight Princess HD,2016.0,Nintendo,0.94
Skylanders: Trap Team,2014.0,Activision,0.93
Disney Magical World,2013.0,Nintendo,0.92
Crysis 3,2013.0,Electronic Arts,0.92
Dragon Age: Inquisition,2014.0,Electronic Arts,0.91
Crysis 3,2013.0,Electronic Arts,0.9
EA Sports UFC 2,2016.0,Electronic Arts,0.89
