Model,CV_Accuracy_mean,CV_F1_macro_mean
Logistic Regression,0.7628571428571428,0.6931868131868133
Random Forest,0.7361904761904762,0.6618181818181819
Gradient Boosting,0.7371428571428571,0.6742257742257742
Neural Network (MLP),0.5704761904761904,0.4611832611832612
