event_id;event_date;trading_date;ticker;publisher;studio;is_rockstar;game;franchise;event_type;sentiment;impact_expectation_manual;adj_close;return;market_return;AR_event;CAR_m1_p1;CAR_m5_p5;CAR_0_1;CAR_0_3;CAR_0_5;impact_label
EA_2017_BATTLEFRONT2_RELEASE;2017-11-17;2017-11-17;EA;Electronic Arts;DICE;0;Battlefront II;Star Wars;Release;negative;high;105.9040298461914;-0.0249104538107443;-0.0026259630899742;-0.0231304850141793;-0.029217354053615;-0.0568283762769706;-0.0231304850141793;-0.0354186838525347;-0.0439547416200339;Medium
EA_2019_APEX_LAUNCH;2019-02-04;2019-02-04;EA;EA;Respawn Entertainment;0;Apex Legends;Apex Legends;Release;Positive;High;86.06040954589844;-0.0305855025991312;0.006776236617404;-0.0365755152078716;0.0053946383262431;0.1128230560495731;0.005394638326243199;-0.07036936413261999;0.0892049161997398;Low
EA_2019_ANTHEM_RELEASE;2019-02-22;2019-02-22;EA;EA;BioWare;0;Anthem;Anthem;Release;Negative;High;93.34969329833984;-0.0097047955726053;0.0064111023949868;-0.0153930611214108;-0.0308148948836894;-0.0935448215568781;-0.0153930611214108;-0.0174265926520158;0.0037355401661856996;High
EA_2020_FIFA_ULTIMATETEAM_REVENUE;2020-05-05;2020-05-05;EA;EA;EA Sports;0;FIFA Ultimate Team;FIFA;Major Announcement;Positive;Medium;116.4048843383789;0.0237951832695133;0.0090405563857973;0.0159339359451056;0.0129721322354664;0.0345141851483589;-0.014554885731024599;-0.0274923071846647;-0.0274923071846647;Medium
EA_2021_BF2042_BAD_RELEASE;2021-11-19;2021-11-19;EA;Electronic Arts;DICE;0;Battlefield 2042;Battlefield;Release;negative;high;129.48155212402344;-0.0359715834556209;-0.0013986655593032;-0.0352058538040304;-0.0442567870571064;-0.1421986131620121;-0.0352058538040304;-0.07910543515221491;-0.0799896787286638;High
EA_2022_FIFA23_RELEASE;2022-09-30;2022-09-30;EA;EA;EA Sports;0;FIFA 23;FIFA;Release;Positive;Medium;113.79390716552734;-0.0149825697451245;-0.0150666957719832;-0.0029215747402213;0.006711447981544;0.0364189532868444;-0.0029215747402213;0.011163609679538;0.0103404735627574;Low
EA_EARN_2023Q4;2023-05-09;2023-05-09;EA;Electronic Arts;Earnings;0;;;Earnings;;;123.7277603149414;-0.0027830277551352;-0.0045794212772585;0.0006112796285296;-0.0068797786650087;-0.0062904483886409;-0.008826983454469702;-0.0010500391189013016;-0.0010500391189013016;Low
EA_EARN_2024Q3;2024-01-30;2024-01-30;EA;Electronic Arts;Earnings;0;;;Earnings;;;136.31204223632812;-0.0074323581851548;-0.0006006499345398;-0.0073261089486303;-0.0068485310925254;-0.0268927545024262;0.005811503863702099;-0.0209326930621444;-0.0209326930621444;Low
EA_EARN_2024Q4;2024-05-07;2024-05-07;EA;Electronic Arts;Earnings;0;;;Earnings;;;129.24005126953125;-0.0024509209267661;0.001343429823275;-0.0039512599396699;-0.0439325168292635;-0.0430697044598117;-0.042727328225388;-0.0339092221339782;-0.0339092221339782;High
NTDOY_2017_ZELDA_BOTW_RELEASE;2017-03-03;2017-03-03;NTDOY;Nintendo;Nintendo EPD;0;The Legend of Zelda: Breath of the Wild;Zelda;Release;Positive;High;7.619999885559082;-0.0052219272388812;0.00050387727206;-0.0054851512589808;0.0009690179166147;0.0401238671794362;-0.0054851512589808;-0.0033125422428451003;-0.0011537511518090002;Low
