is_rockstar;sentiment_negative;market_return;franchise_gta;vix_level;vix_30d_mean;impact_label;impact_label_num;impact_high;event_type_marketing;event_type_negative;event_type_release;vix_regime_medium;vix_regime_high
0;0;0.0028401189192852;0;14.8100004196167;18.191666730244954;low;0;0;0;0;0;1;0
1;0;-0.0005688697261614;1;12.850000381469728;15.10600004196167;low;0;0;1;0;0;0;0
1;0;-0.0020816677921287;1;12.420000076293944;15.216666539510092;low;0;0;1;0;0;0;0
1;1;0.0147265741296347;1;22.68000030517578;28.447666867574057;high;2;1;0;1;0;0;1
1;0;-0.0076932396518555;1;24.76000022888184;28.835666847229003;high;2;1;1;0;0;0;1
1;1;-0.011178189042419;1;19.5;17.91200008392334;high;2;1;0;1;0;0;1
1;0;0.0033256728767856;0;14.960000038146973;14.141333293914794;high;2;1;0;0;0;1;0
1;0;0.0166511002590801;0;27.989999771118164;35.74466660817464;medium;1;0;0;0;0;0;1
1;0;0.0071810234393261;0;24.280000686645508;28.030333518981934;high;2;1;0;0;0;0;1
1;0;0.0194601941389629;0;27.57999992370605;29.422999827067056;high;2;1;0;0;0;0;1
1;0;0.0073993483603735;0;21.239999771118164;24.256999969482422;high;2;1;0;0;0;0;1
1;0;-0.0085172929593646;0;21.34000015258789;18.549666595458984;high;2;1;0;0;0;0;1
1;0;-0.0018428056148913;0;19.459999084472656;17.306666755676268;high;2;1;0;0;0;0;1
1;0;0.0064612791953579;0;15.100000381469728;18.229333273569743;high;2;1;0;0;0;1;0
1;0;-0.0037017126347429;0;22.86000061035156;22.160666720072427;medium;1;0;0;0;0;0;1
1;0;-0.0039464009295556;0;27.46999931335449;26.821666971842447;high;2;1;0;0;0;0;1
1;0;-0.0012375507238541;0;21.290000915527344;24.738333447774252;high;2;1;0;0;0;0;1
1;0;0.0096139819205598;0;24.350000381469727;29.407666714986167;high;2;1;0;0;0;0;1
1;0;-0.0061404630177543;0;19.43000030517578;20.271999994913738;high;2;1;0;0;0;0;1
1;0;0.0118908290587882;0;16.8700008392334;17.601333395640054;high;2;1;0;0;0;1;0
1;0;-0.0042182830447931;0;15.989999771118164;14.26599998474121;medium;1;0;0;0;0;1;0
1;0;0.0010049156221052;0;14.449999809265137;18.066000080108644;high;2;1;0;0;0;0;0
1;0;0.0005705832608251;0;12.789999961853027;13.291000080108644;high;2;1;0;0;0;0;0
1;0;-0.0020816677921287;0;12.420000076293944;15.216666539510092;low;0;0;0;0;0;0;0
1;0;0.0230426115191364;0;23.790000915527344;16.76400000254313;medium;1;0;0;0;0;0;1
1;0;-0.0094647701115428;0;16.540000915527344;16.60866683324178;high;2;1;0;0;0;1;0
1;0;0.0041323320741357;0;17.829999923706055;28.822666740417482;medium;1;0;0;0;0;1;0
1;0;0.0077997153489748;0;15.149999618530272;16.552666505177815;high;2;1;0;0;0;1;0
0;0;0.0112505958978537;0;15.149999618530272;14.062999947865803;medium;1;0;0;0;0;1;0
0;0;0.0090405563857973;0;33.61000061035156;44.66933352152507;medium;1;0;0;0;0;0;1
0;0;-0.0037502519373892;0;24.76000022888184;28.67433344523112;high;2;1;0;0;0;0;1
0;0;0.0194601941389629;0;27.57999992370605;29.422999827067056;high;2;1;0;0;0;0;1
0;0;0.0138982234844169;0;25.559999465942383;24.50633322397868;high;2;1;0;0;0;0;1
0;0;-0.0086739128027181;0;21.84000015258789;17.942333348592122;medium;1;0;0;0;0;0;1
0;0;-0.0046323879014122;0;17.969999313354492;17.355333455403645;high;2;1;0;0;0;1;0
0;0;0.0064612791953579;0;15.100000381469728;18.229333273569743;low;0;0;0;0;0;1;0
0;0;0.0068630035578014;0;21.959999084472656;21.75900001525879;medium;1;0;0;0;0;0;1
0;0;0.0024578974498534;0;32.9900016784668;25.41333351135254;high;2;1;0;0;0;0;1
0;0;-0.0066623955507048;0;23.93000030517578;25.72466672261556;low;0;0;0;0;0;0;1
