Model,CV_Accuracy_mean,CV_F1_macro_mean
Logistic Regression,0.4660968660968662,0.38646710888090197
Random Forest,0.44301994301994296,0.4072721519818295
Gradient Boosting,0.4279202279202279,0.39847033043584773
Neural Network (MLP),0.42051282051282046,0.22056412910302853
