Model,CV_Accuracy_mean,CV_F1_macro_mean
Logistic Regression (Binary),0.6187096774193547,0.5897532401010662
Random Forest (Binary),0.6182795698924731,0.5945805973326594
Gradient Boosting (Binary),0.6782795698924731,0.6684831968377175
"Neural Network (MLP, Binary)",0.5855913978494623,0.4868147738612557
