Model,CV_Accuracy_mean,CV_F1_macro_mean
Logistic Regression (Binary),0.6253763440860215,0.6096055635186068
Random Forest (Binary),0.6053763440860214,0.5779089026915113
Gradient Boosting (Binary),0.5591397849462365,0.5454110342097958
"Neural Network (MLP, Binary)",0.5255913978494624,0.45081918081918076
