event_id,trading_date,true_label,pred_label,proba_low,proba_medium,proba_high,true_label_str,pred_label_str
TTWO_2022_GTA6_DEV-ANNOUNCEMENT,2022-02-04,2,2,0.07546294377127012,0.14665697211596418,0.7778800841127653,High,High
GTA6_2022_LEAK,2022-09-19,1,2,0.07897495185693618,0.41307549880399547,0.5079495493390683,Medium,High
TTWO_2023_GTA6_TRAILER1,2023-12-05,0,0,0.7104019200318926,0.11181572838626085,0.1777823515818467,Low,Low
GTA6_2024_KEYART,2024-05-16,0,0,0.7121916025715751,0.11505382362435608,0.1727545738040689,Low,Low
TTWO_2025_GTA6_DELAY1,2025-05-02,2,2,0.09515589712579775,0.22300036112198263,0.6818437417522195,High,High
TTWO_2025_GTA6_TRAILER2,2025-05-06,2,2,0.08885513543281504,0.09425837760065635,0.8168864869665287,High,High
TTWO_2025_GTA6_DELAY2,2025-11-06,2,2,0.038982090799447935,0.2988812719173939,0.6621366372831582,High,High
