event_id,trading_date,true_label,pred_label,proba_not_high,proba_high,true_label_str,pred_label_str
TTWO_2022_GTA6_DEV-ANNOUNCEMENT,2022-02-04,1,1,0.35527154506436764,0.6447284549356324,High,High
GTA6_2022_LEAK,2022-09-19,0,0,0.5265559281612872,0.47344407183871284,Not High,Not High
TTWO_2023_GTA6_TRAILER1,2023-12-05,0,0,0.5316992884549134,0.4683007115450865,Not High,Not High
GTA6_2024_KEYART,2024-05-16,0,0,0.5173873664433578,0.4826126335566422,Not High,Not High
TTWO_2025_GTA6_DELAY1,2025-05-02,1,1,0.3563410520899931,0.6436589479100069,High,High
TTWO_2025_GTA6_TRAILER2,2025-05-06,1,1,0.2925720925765425,0.7074279074234575,High,High
TTWO_2025_GTA6_DELAY2,2025-11-06,1,1,0.43945967733834623,0.5605403226616538,High,High
