Price,Adj Close
Ticker,NTDOY
Date,
2010-01-04,6.103085994720459
2010-01-05,6.215667724609375
2010-01-06,6.547485828399658
2010-01-07,6.758822441101074
2010-01-08,6.877329349517822
2010-01-11,6.863502502441406
2010-01-12,6.991884708404541
2010-01-13,7.011636257171631
2010-01-14,6.942507266998291
2010-01-15,6.877329349517822
2010-01-19,7.029412269592285
2010-01-20,6.958308219909668
2010-01-21,6.906955242156982
2010-01-22,6.906955242156982
2010-01-25,7.035337448120117
2010-01-26,6.972134113311768
2010-01-27,7.092616081237793
2010-01-28,7.2091474533081055
2010-01-29,6.893129825592041
2010-02-01,7.011636257171631
2010-02-02,6.934606552124023
2010-02-03,6.814125061035156
2010-02-04,6.822025775909424
2010-02-05,6.675868034362793
2010-02-08,6.656116485595703
2010-02-09,6.650191307067871
2010-02-10,6.67191743850708
2010-02-11,6.725245475769043
2010-02-12,6.812150001525879
2010-02-16,6.743021488189697
2010-02-17,6.713394641876221
2010-02-18,6.665992259979248
2010-02-19,6.612664222717285
2010-02-22,6.596863269805908
2010-02-23,6.6422905921936035
2010-02-24,6.673892498016357
2010-02-25,6.646241188049316
2010-02-26,6.689693927764893
2010-03-01,6.936582565307617
2010-03-02,7.138043403625488
2010-03-03,7.323702812194824
2010-03-04,7.3572797775268555
2010-03-05,7.305927276611328
2010-03-08,7.396782398223877
2010-03-09,7.43628454208374
2010-03-10,7.503438472747803
2010-03-11,7.61009407043457
2010-03-12,7.535039901733398
2010-03-15,7.363205432891846
2010-03-16,7.327653884887695
2010-03-17,7.503438472747803
2010-03-18,7.426408767700195
2010-03-19,7.495537757873535
2010-03-22,7.580467700958252
2010-03-23,7.930061340332031
2010-03-24,8.216452598571777
2010-03-25,8.516669273376465
2010-03-26,8.350760459899902
2010-03-29,8.27175521850586
2010-03-30,8.408038139343262
2010-03-31,8.226327896118164
2010-04-01,8.413963317871094
2010-04-05,8.54234504699707
2010-04-06,8.575922012329102
2010-04-07,8.267805099487305
2010-04-08,8.097946166992188
2010-04-09,8.076220512390137
2010-04-12,8.350760459899902
2010-04-13,8.32508373260498
2010-04-14,8.477166175842285
2010-04-15,8.37446117401123
2010-04-16,8.236204147338867
2010-04-19,8.283605575561523
