Date,EA,ATVI,UBSFY,NTDOY,^GSPC
2010-01-04,,17.663646697998047,6.103085994720459,,1132.989990234375
2010-01-05,,18.15998077392578,6.215667724609375,,1136.52001953125
2010-01-06,,17.692840576171875,6.5474853515625,,1137.1400146484375
2010-01-07,,17.556594848632812,6.758821964263916,,1141.68994140625
2010-01-08,,17.90694808959961,6.877329349517822,,1144.97998046875
2010-01-11,,17.78042984008789,6.8635029792785645,,1146.97998046875
2010-01-12,,16.398483276367188,6.991885185241699,,1136.219970703125
2010-01-13,,16.709901809692383,7.011636257171631,,1145.6800537109375
2010-01-14,,16.71963882446289,6.942507266998291,,1148.4599609375
2010-01-15,,16.573657989501953,6.877329349517822,,1136.030029296875
2010-01-19,,16.709901809692383,7.029412269592285,,1150.22998046875
2010-01-20,,16.748830795288086,6.958308219909668,2.683384656906128,1138.0400390625
2010-01-21,,16.91427993774414,6.906955242156982,2.683384656906128,1116.47998046875
2010-01-22,,16.320627212524414,6.906955242156982,2.683384656906128,1091.760009765625
2010-01-25,,16.379016876220703,7.035337448120117,2.683384656906128,1096.780029296875
2010-01-26,,16.291431427001953,6.972134113311768,2.792707681655884,1092.1700439453125
2010-01-27,,16.670978546142578,7.092616081237793,2.733077049255371,1097.5
2010-01-28,,16.320627212524414,7.2091474533081055,2.733077049255371,1084.530029296875
2010-01-29,,15.843756675720215,6.893129825592041,2.733077049255371,1073.8699951171875
2010-02-01,,16.291431427001953,7.011636257171631,2.733077049255371,1089.18994140625
2010-02-02,,16.612586975097656,6.934606552124023,2.8821539878845215,1103.3199462890625
2010-02-03,,16.807226181030273,6.8141255378723145,2.9318463802337646,1097.280029296875
2010-02-04,,16.524999618530273,6.822025775909424,2.9318463802337646,1063.1099853515625
2010-02-05,,16.79749870300293,6.675868034362793,2.733077049255371,1066.18994140625
2010-02-08,,17.021333694458008,6.656116008758545,2.733077049255371,1056.739990234375
2010-02-09,,15.532332420349121,6.650191307067871,2.733077049255371,1070.52001953125
2010-02-10,,15.512866020202637,6.671917915344238,2.633692502975464,1068.1300048828125
2010-02-11,,15.6880464553833,6.725245475769043,2.5343077182769775,1078.469970703125
2010-02-12,,15.629650115966797,6.812150001525879,2.5343077182769775,1075.510009765625
2010-02-16,,15.87295150756836,6.743021488189697,2.554184675216675,1094.8699951171875
2010-02-17,,16.184375762939453,6.713394641876221,2.554184675216675,1099.510009765625
2010-02-18,,16.145448684692383,6.665992259979248,2.554184675216675,1106.75
2010-02-19,,16.301162719726562,6.612664222717285,2.554184675216675,1109.1700439453125
2010-02-22,,16.145448684692383,6.596863269805908,2.554184675216675,1108.010009765625
2010-02-23,,15.87295150756836,6.6422905921936035,2.554184675216675,1094.5999755859375
2010-02-24,,16.077327728271484,6.673892498016357,2.554184675216675,1105.239990234375
2010-02-25,,16.116252899169922,6.646240711212158,2.554184675216675,1102.93994140625
2010-02-26,,16.135713577270508,6.689693927764893,2.554184675216675,1104.489990234375
2010-03-01,,16.417949676513672,6.936582088470459,2.554184675216675,1115.7099609375
2010-03-02,,16.291431427001953,7.13804292678833,2.3752925395965576,1118.31005859375
2010-03-03,,16.359560012817383,7.323703289031982,2.395169258117676,1118.7900390625
2010-03-04,,16.36928367614746,7.357280254364014,2.395169258117676,1122.969970703125
2010-03-05,,16.66124725341797,7.305927276611328,2.5343077182769775,1138.699951171875
2010-03-08,,16.81696319580078,7.396782398223877,2.5343077182769775,1138.5
2010-03-09,,17.108919143676758,7.43628454208374,2.5343077182769775,1140.449951171875
2010-03-10,,17.410612106323242,7.503438472747803,2.494553804397583,1145.6099853515625
2010-03-11,,17.420345306396484,7.61009407043457,2.494553804397583,1150.239990234375
2010-03-12,,17.293832778930664,7.535039901733398,2.5343077182769775,1149.989990234375
2010-03-15,,17.39115333557129,7.363205432891846,2.5343077182769775,1150.510009765625
2010-03-16,,17.439809799194336,7.327653408050537,2.5343077182769775,1159.4599609375
2010-03-17,,17.653911590576172,7.503438472747803,2.4846153259277344,1166.2099609375
2010-03-18,,18.033464431762695,7.426408767700195,2.5343077182769775,1165.8299560546875
2010-03-19,,17.926416397094727,7.495538234710693,2.683384656906128,1159.9000244140625
2010-03-22,,18.062658309936523,7.580467700958252,2.782769203186035,1165.81005859375
2010-03-23,,18.023733139038086,7.930061340332031,2.683384656906128,1174.1700439453125
2010-03-24,,18.033464431762695,8.216452598571777,2.6237540245056152,1167.719970703125
2010-03-25,,18.062658309936523,8.516668319702148,2.6237540245056152,1165.72998046875
2010-03-26,,18.344892501831055,8.350759506225586,2.6237540245056152,1166.5899658203125
2010-03-29,,18.179445266723633,8.271756172180176,2.7728307247161865,1173.219970703125
2010-03-30,,18.2864990234375,8.408038139343262,2.633692502975464,1173.27001953125
2010-03-31,,18.15998077392578,8.226327896118164,2.633692502975464,1169.4300537109375
2010-04-01,,18.33515167236328,8.41396427154541,2.633692502975464,1178.0999755859375
2010-04-05,,18.58819007873535,8.54234504699707,2.633692502975464,1187.43994140625
2010-04-06,,18.59792137145996,8.575922012329102,2.8324615955352783,1189.43994140625
2010-04-07,,18.666044235229492,8.267805099487305,2.8324615955352783,1182.449951171875
2010-04-08,,18.675783157348633,8.097946166992188,2.792707681655884,1186.43994140625
2010-04-09,,18.841218948364258,8.076220512390137,2.921907901763916,1194.3699951171875
2010-04-12,,18.88014793395996,8.350759506225586,2.921907901763916,1196.47998046875
2010-04-13,,18.802295684814453,8.32508373260498,2.9318463802337646,1197.300048828125
2010-04-14,,19.211036682128906,8.477166175842285,2.9318463802337646,1210.6500244140625
