Date,EA,ATVI,UBI.PA,NTDOY,^GSPC
2019-12-03,,98.55634307861328,10.059228897094727,54.7599983215332,3093.199951171875
2019-12-04,,97.9334945678711,10.019726753234863,58.2400016784668,3112.760009765625
2019-12-05,,99.3835678100586,9.873568534851074,58.380001068115234,3117.429931640625
2019-12-06,,100.46382904052734,9.984174728393555,58.0,3145.909912109375
2019-12-09,,99.29595947265625,10.215262413024902,56.84000015258789,3135.9599609375
2019-12-10,,99.11105346679688,10.45820140838623,56.86000061035156,3132.52001953125
2019-12-11,,100.43460845947266,10.375245094299316,55.900001525878906,3141.6298828125
2019-12-12,,102.27396392822266,10.246864318847656,58.099998474121094,3168.570068359375
2019-12-13,,101.74844360351562,10.063179016113281,60.65999984741211,3168.800048828125
2019-12-16,,102.88709259033203,10.331793785095215,61.41999816894531,3191.449951171875
2019-12-17,,102.91629791259766,10.260690689086914,60.34000015258789,3192.52001953125
2019-12-18,,104.21064758300781,10.059228897094727,59.7599983215332,3191.139892578125
2019-12-19,,104.46367645263672,9.806414604187012,60.439998626708984,3205.3701171875
2019-12-20,,105.05732727050781,9.772838592529297,61.63999938964844,3221.219970703125
2019-12-23,,104.90162658691406,9.80444049835205,61.34000015258789,3224.010009765625
2019-12-24,,105.64125061035156,9.786664009094238,61.0,3223.3798828125
2019-12-25,,,,61.0,
2019-12-26,,105.60233306884766,9.855792045593262,,3239.909912109375
2019-12-27,,105.52448272705078,9.875543594360352,61.400001525878906,3240.02001953125
2019-12-30,,104.06466674804688,9.816290855407715,61.31999969482422,3221.2900390625
2019-12-31,,104.62911987304688,9.855792045593262,61.58000183105469,3230.780029296875
2020-01-02,,104.46367645263672,10.011825561523438,62.380001068115234,3257.85009765625
2020-01-03,,104.3274154663086,9.924921035766602,62.380001068115234,3234.85009765625
2020-01-06,,105.86507415771484,9.786664009094238,62.099998474121094,3246.280029296875
2020-01-07,,105.48554992675781,9.709633827209473,61.040000915527344,3237.179931640625
2020-01-08,,106.55606842041016,9.798514366149902,63.900001525878906,3253.050048828125
2020-01-09,,106.4295425415039,9.784687995910645,64.68000030517578,3274.699951171875
2020-01-10,,105.68018341064453,9.768888473510742,65.4800033569336,3265.35009765625
2020-01-13,,106.87722778320312,9.796539306640625,65.68000030517578,3288.1298828125
2020-01-14,,106.64364624023438,9.707659721374512,65.5199966430664,3283.14990234375
2020-01-15,,106.67285919189453,9.680007934570312,65.0,3289.2900390625
2020-01-16,,108.27862548828125,9.646430969238281,64.30000305175781,3316.81005859375
2020-01-17,,109.90390014648438,9.61285400390625,62.31999969482422,3329.6201171875
2020-01-20,,,,64.27999877929688,
2020-01-21,,109.3978271484375,9.670132637023926,63.15999984741211,3320.7900390625
2020-01-22,,110.05960083007812,9.687908172607422,63.63999938964844,3321.75
2020-01-23,,110.43914794921875,9.828140258789062,64.37999725341797,3325.5400390625
2020-01-24,,109.31995391845703,9.822216033935547,66.0,3295.469970703125
2020-01-27,,107.59739685058594,9.516073226928711,66.36000061035156,3243.6298828125
2020-01-28,,108.90147399902344,9.668157577514648,67.9800033569336,3276.239990234375
2020-01-29,,109.20317077636719,9.638530731201172,69.16000366210938,3273.39990234375
2020-01-30,,108.64844512939453,9.352140426635742,68.5,3283.659912109375
2020-01-31,,105.02815246582031,9.065749168395996,68.63999938964844,3225.52001953125
2020-02-03,,102.22532653808594,9.049947738647461,69.4000015258789,3248.919921875
2020-02-04,,104.2009048461914,9.168455123901367,69.62000274658203,3297.590087890625
2020-02-05,,104.93083953857422,9.164504051208496,70.95999908447266,3334.68994140625
2020-02-06,,107.05240631103516,9.150679588317871,71.73999786376953,3345.780029296875
2020-02-07,,106.16677856445312,9.091425895690918,73.0999984741211,3327.7099609375
2020-02-10,,105.78724670410156,9.164504051208496,73.0,3352.090087890625
2020-02-11,,106.11811828613281,9.239558219909668,73.0199966430664,3357.75
2020-02-12,,106.7799072265625,9.164504051208496,74.0,3379.449951171875
2020-02-13,,105.92349243164062,9.026247024536133,74.5999984741211,3373.93994140625
2020-02-14,,106.75072479248047,8.931441307067871,74.66000366210938,3380.159912109375
2020-02-17,,,,73.9000015258789,
2020-02-18,,106.5268783569336,8.886013984680176,73.55999755859375,3370.2900390625
2020-02-19,,106.83829498291016,8.976869583129883,74.86000061035156,3386.14990234375
2020-02-20,,106.27383422851562,8.854412078857422,74.83999633789062,3373.22998046875
2020-02-21,,105.11573028564453,8.759607315063477,75.05999755859375,3337.75
2020-02-24,,104.16197967529297,8.526544570922852,74.33999633789062,3225.889892578125
2020-02-25,,102.55621337890625,8.569997787475586,72.81999969482422,3128.2099609375
2020-02-26,,103.68511199951172,8.660852432250977,72.33999633789062,3116.389892578125
2020-02-27,,99.98694610595703,8.40211296081543,68.80000305175781,2978.760009765625
2020-02-28,,98.6536636352539,8.29150676727295,67.37999725341797,2954.219970703125
2020-03-02,,104.0257339477539,8.538395881652832,67.04000091552734,3090.22998046875
2020-03-03,,103.8408432006836,8.40211296081543,68.58000183105469,3003.3701171875
2020-03-04,,108.83336639404297,8.649001121520996,69.13999938964844,3130.1201171875
2020-03-05,,107.25677490234375,8.643075942993164,69.69999694824219,3023.93994140625
2020-03-06,,104.78483581542969,8.666777610778809,65.73999786376953,2972.3701171875
2020-03-09,,98.2254409790039,8.37446117401123,62.220001220703125,2746.56005859375
2020-03-10,,100.60978698730469,8.58974838256836,61.79999923706055,2882.22998046875
2020-03-11,,98.46874237060547,8.20262622833252,61.70000076293945,2741.3798828125
2020-03-12,,90.84856414794922,7.6871232986450195,55.5,2480.639892578125
2020-03-13,,94.45914459228516,7.841181755065918,56.7599983215332,2711.02001953125
2020-03-16,,86.29397583007812,7.4975128173828125,58.779998779296875,2386.1298828125
2020-03-17,,92.85334777832031,8.101896286010742,64.72000122070312,2529.18994140625
2020-03-18,,87.79270935058594,8.040668487548828,61.47999954223633,2398.10009765625
2020-03-19,,87.64672088623047,8.660852432250977,58.02000045776367,2409.389892578125
2020-03-20,,84.61034393310547,8.593697547912598,58.84000015258789,2304.919921875
2020-03-23,,92.91175842285156,8.489017486572266,59.900001525878906,2237.39990234375
2020-03-24,,91.77310180664062,8.816885948181152,64.26000213623047,2447.330078125
2020-03-25,,87.23796081542969,8.652952194213867,62.380001068115234,2475.56005859375
2020-03-26,,96.54179382324219,9.057848930358887,67.0,2630.070068359375
2020-03-27,,92.81443786621094,9.024271011352539,65.83999633789062,2541.469970703125
2020-03-30,,95.072265625,9.508173942565918,68.41999816894531,2626.64990234375
2020-03-31,,97.48580169677734,9.535825729370117,67.18000030517578,2584.590087890625
2020-04-01,,94.91654968261719,9.569401741027832,67.31999969482422,2470.5
2020-04-02,,99.54901123046875,9.579277992248535,68.69999694824219,2526.89990234375
2020-04-03,,100.07453918457031,9.488422393798828,70.94000244140625,2488.64990234375
2020-04-06,,103.65592193603516,9.893319129943848,69.30000305175781,2663.679931640625
2020-04-07,,103.47102355957031,9.891345024108887,67.19999694824219,2659.409912109375
2020-04-08,,103.93814849853516,9.978249549865723,68.72000122070312,2749.97998046875
2020-04-09,,102.96495056152344,9.972323417663574,68.83999633789062,2789.820068359375
2020-04-13,,106.37113952636719,10.231062889099121,,2761.6298828125
2020-04-14,,109.02801513671875,10.472026824951172,69.0,2846.06005859375
2020-04-15,,110.46835327148438,10.683363914489746,68.26000213623047,2783.360107421875
2020-04-16,,114.93534088134766,10.88284969329834,68.81999969482422,2799.550048828125
2020-04-17,,112.06438446044922,10.592508316040039,70.0,2874.56005859375
2020-04-20,,112.31745147705078,10.448326110839844,68.62000274658203,2823.159912109375
2020-04-21,,110.23478698730469,10.886799812316895,66.62000274658203,2736.56005859375
2020-04-22,,111.49996185302734,10.83347225189209,65.83999633789062,2799.31005859375
2020-04-23,,111.39289093017578,10.701139450073242,67.26000213623047,2797.800048828125
2020-04-24,,113.19331359863281,10.829521179199219,67.19999694824219,2836.739990234375
2020-04-27,,112.91107940673828,10.79396915435791,71.22000122070312,2878.47998046875
2020-04-28,,108.3662338256836,10.628060340881348,69.27999877929688,2863.389892578125
2020-04-29,,109.75789642333984,10.7149658203125,68.69999694824219,2939.510009765625
2020-04-30,,111.1982650756836,10.15995979309082,67.91999816894531,2912.429931640625
2020-05-01,,110.23478698730469,10.341670036315918,,2830.7099609375
2020-05-04,,113.69937896728516,10.323893547058105,68.08000183105469,2842.739990234375
2020-05-05,,116.4048843383789,10.422648429870605,70.55999755859375,2868.43994140625
2020-05-06,,112.2298355102539,10.497703552246094,71.87999725341797,2848.419921875
2020-05-07,,113.6701889038086,10.734716415405273,72.62000274658203,2881.18994140625
2020-05-08,,113.4950180053711,10.231062889099121,73.9000015258789,2929.800048828125
2020-05-11,,114.22490692138672,10.110581398010254,72.55999755859375,2930.18994140625
2020-05-12,,113.2517318725586,10.235014915466309,70.30000305175781,2870.1201171875
2020-05-13,,113.76750183105469,10.290316581726074,69.5,2820.0
2020-05-14,,113.98162078857422,10.323893547058105,69.18000030517578,2852.5
2020-05-15,,114.96454620361328,10.347594261169434,69.08000183105469,2863.699951171875
2020-05-18,,113.98162078857422,10.391047477722168,68.0199966430664,2953.909912109375
2020-05-19,,115.36358642578125,10.092806816101074,66.94000244140625,2922.93994140625
2020-05-20,,116.34650421142578,10.201436996459961,69.0,2971.610107421875
2020-05-21,,114.21517944335938,10.266615867614746,69.4000015258789,2948.510009765625
2020-05-22,,116.60926818847656,10.296241760253906,70.30000305175781,2955.449951171875
2020-05-25,,,,72.5199966430664,
2020-05-26,,113.51445770263672,10.142184257507324,69.80000305175781,2991.77001953125
2020-05-27,,114.23466491699219,10.126382827758789,66.33999633789062,3036.1298828125
2020-05-28,,118.0982666015625,10.112556457519531,67.80000305175781,3029.72998046875
2020-05-29,,119.58726501464844,10.04145336151123,69.66000366210938,3044.31005859375
2020-06-01,,119.48993682861328,10.233038902282715,70.45999908447266,3055.72998046875
2020-06-02,,119.08120727539062,10.003926277160645,70.12000274658203,3080.820068359375
2020-06-03,,114.7698974609375,10.161933898925781,67.9000015258789,3122.8701171875
2020-06-04,,114.04000854492188,10.288342475891113,68.33999633789062,3112.35009765625
2020-06-05,,115.14945983886719,10.412773132324219,67.4000015258789,3193.929931640625
2020-06-08,,116.30757141113281,10.215262413024902,67.26000213623047,3232.389892578125
2020-06-09,,117.82577514648438,10.33969497680664,67.08000183105469,3207.179931640625
2020-06-10,,121.46553802490234,10.41672420501709,68.5,3190.139892578125
2020-06-11,,119.13959503173828,10.635961532592773,67.5999984741211,3002.10009765625
2020-06-12,,118.70166778564453,10.942102432250977,66.94000244140625,3041.31005859375
2020-06-15,,123.12971496582031,10.861123085021973,66.18000030517578,3066.590087890625
2020-06-16,,122.36090850830078,11.00135612487793,68.30000305175781,3124.739990234375
2020-06-17,,124.6771240234375,11.343049049377441,68.5999984741211,3113.489990234375
2020-06-18,,125.8839111328125,11.562287330627441,68.4800033569336,3115.340087890625
2020-06-19,,126.7013931274414,11.572162628173828,68.9800033569336,3097.739990234375
2020-06-22,,126.2439956665039,11.554386138916016,68.9000015258789,3117.860107421875
2020-06-23,,127.1004409790039,11.22256851196289,69.54000091552734,3131.2900390625
2020-06-24,,127.36315155029297,11.147514343261719,69.81999969482422,3050.330078125
2020-06-25,,127.23664093017578,11.046783447265625,70.26000213623047,3083.760009765625
2020-06-26,,127.42156982421875,11.10011100769043,70.63999938964844,3009.050048828125
2020-06-29,,127.18800354003906,11.064559936523438,69.77999877929688,3053.239990234375
2020-06-30,,128.51156616210938,11.040858268737793,73.4000015258789,3100.2900390625
2020-07-01,,131.5966339111328,11.060609817504883,76.5,3115.860107421875
2020-07-02,,130.25357055664062,11.133688926696777,75.91999816894531,3130.010009765625
2020-07-03,,,,78.0,
2020-07-06,,130.67205810546875,11.609688758850098,78.19999694824219,3179.719970703125
2020-07-07,,131.1684112548828,11.781523704528809,78.5199966430664,3145.320068359375
2020-07-08,,131.9761505126953,11.518834114074707,80.0,3169.93994140625
2020-07-09,,135.05149841308594,11.435879707336426,78.83999633789062,3152.050048828125
2020-07-10,,137.03680419921875,11.315398216247559,77.5,3185.0400390625
2020-07-13,,131.68418884277344,11.198866844177246,73.63999938964844,3155.219970703125
2020-07-14,,134.81790161132812,11.137638092041016,72.81999969482422,3197.52001953125
2020-07-15,,134.72056579589844,11.220593452453613,71.9000015258789,3226.56005859375
2020-07-16,,134.3507843017578,11.05073356628418,70.36000061035156,3215.570068359375
2020-07-17,,134.60379028320312,11.029007911682129,68.0199966430664,3224.72998046875
2020-07-20,,137.73753356933594,10.916425704956055,69.55999755859375,3251.840087890625
2020-07-21,,135.6062469482422,10.959877967834473,70.27999877929688,3257.300048828125
2020-07-22,,134.59408569335938,10.9124755859375,70.0,3276.02001953125
2020-07-23,,131.7328338623047,10.86309814453125,73.33999633789062,3235.659912109375
2020-07-24,,131.6160888671875,10.914450645446777,71.04000091552734,3215.6298828125
2020-07-27,,132.51138305664062,11.179116249084473,70.5,3239.409912109375
2020-07-28,,131.1684112548828,11.07245922088623,70.23999786376953,3218.43994140625
2020-07-29,,132.28756713867188,11.23046875,70.80000305175781,3258.43994140625
2020-07-30,,134.87631225585938,11.133688926696777,69.4800033569336,3246.219970703125
2020-07-31,,137.82513427734375,10.865073204040527,70.77999877929688,3271.1201171875
